"street_label","street_type","total_trees","total_length","n_segments","density"
"400 E 51ST AV","Public",15,249.646761813141,2,6.00848971204658
"4000 RUPERT ST","Public",15,99.5738875662249,1,15.0641903882921
"4000 W 37TH AV","Public",15,228.819773492536,1,6.55537752312708
"4300 ST. CATHERINES ST","Public",15,120.586616333624,2,12.439191392932
"4400 QUEBEC ST","Public",15,166.937626291176,1,8.98539192946032
"4600 W 15TH AV","Public",15,222.967251329344,1,6.72744535826187
"4900 SPENCER ST","Public",15,156.337899215105,4,9.59460250860957
"500-600 E 51ST AV","Public",15,240.331919752449,3,6.24136819422512
"5800-5900 MCKINNON ST","Public",15,154.308522857921,1,9.72078516609947
"600 W 22ND AV","Public",15,141.155861125869,2,10.6265513031899
"700 E 26TH AV","Public",15,174.514623365896,3,8.59526824210614
"7300-7400 LABURNUM ST","Public",15,259.687000403101,3,5.77618439764645
"800 E 35TH AV","Public",15,161.640983466118,4,9.27982475629033
"8600 FRENCH ST","Public",15,172.394130798207,2,8.70099227308266
"900 E 10TH AV","Public",15,140.395142989355,1,10.6841302915567
"900 E 16TH AV","Public",15,140.346722495078,3,10.6878163831193
"0 W KING EDWARD AV","Public",14,178.619628654153,1,7.83788439461325
"1000-1100 W 48TH AV","Public",14,267.225901070171,2,5.23901311359925
"1100 E 10TH AV","Public",14,140.313454641432,1,9.97766040026358
"1100 E 19TH AV","Public",14,140.253235043756,1,9.98194444187494
"1100 E GEORGIA ST","Public",14,152.111415836797,1,9.2037799549646
"1200 W 7TH AV","Public",14,172.03282886107,1,8.13798162402252
"1500 DAVIE ST","Public",14,120.465416462562,1,11.6215926621156
"1500 LAURIER AV","Public",14,174.127349712934,2,8.0400925087761
"1700 PARKER ST","Public",14,139.818895199989,2,10.0129528129765
"1800 E 16TH AV","Public",14,133.926727770921,2,10.4534772356618
"1800 HARO ST","Public",14,160.743109150704,1,8.70954908983026
"1800 PARKER ST","Public",14,141.546824898824,1,9.89071991548167
"1900 E 19TH AV","Public",14,185.451678681191,2,7.54913630308376
"2200 W 45TH AV","Public",14,102.347991708551,1,13.6788223845826
"2700 E 54TH AV","Public",14,271.970635952704,3,5.14761453969414
"2700 GUELPH ST","Public",14,100.452048596177,1,13.936997996209
"2800 E 54TH AV","Public",14,153.475305447095,2,9.12198868685492
"3000 GLEN DRIVE","Public",14,112.686885977096,2,12.423805910162
"3000 HORLEY ST","Public",14,216.122082758844,5,6.47782023071731
"3200-3300 QUESNEL DRIVE","Public",14,253.697523892628,2,5.51838259403951
"3400 ONTARIO ST","Public",14,155.894182368314,3,8.98045057699699
"3600 CROWLEY DRIVE","Public",14,80.9237113135031,1,17.3002446041596
"3600 DUNBAR ST","Public",14,100.575372993456,1,13.919908605172
"4000 W 34TH AV","Public",14,228.80269932779,1,6.1188089306338
"4200 RUPERT ST","Public",14,93.1463228476166,1,15.0301155987697
"4400 SOPHIA ST","Public",14,138.208392225052,1,10.1296308962216
"500 E 22ND AV","Public",14,140.354975804755,1,9.9747087124828
"5500-5600 HOLLAND ST","Public",14,187.78224372912,1,7.45544398766226
"5600 MANITOBA ST","Public",14,160.182708896926,3,8.74001950423295
"5700-5800 DUMFRIES ST","Public",14,231.278111328631,2,6.05331819754741
"6100 ARGYLE ST","Public",14,138.577978728288,3,10.1026152412354
"6300-6400 CHURCHILL ST","Public",14,199.497942592036,2,7.01761623107532
"6800-6900 MARGUERITE ST","Public",14,263.794748382521,1,5.30715644865645
"7000-7200 MARGUERITE ST","Public",14,262.155447412383,2,5.34034296757424
"8000-8200 HAIG ST","Public",14,251.516018066901,2,5.56624588270801
"900 W 21ST AV","Public",14,206.364841210115,2,6.78410136043746
"100 E 49TH AV","Public",13,107.883295829336,2,12.0500582597747
"100 W 15TH AV","Public",13,188.491976527941,1,6.89684528724382
"1000 E 16TH AV","Public",13,140.299694610214,1,9.26587904279983
"1000 GARDEN DRIVE","Public",13,100.630725789148,2,12.9185195655241
"1000 ODLUM DRIVE","Public",13,100.956870795416,1,12.8767857973172
"1100 E 13TH AV","Public",13,131.672911628867,1,9.87294944661188
